IN_SABATISTA,NU_NOTA_COMP3,Q002,TP_STATUS_REDACAO,NU_IDADE,TP_NACIONALIDADE,NU_NOTA_LC,Q006,Q024,NU_NOTA_COMP2,Q001,TP_SEXO,TP_LINGUA,TP_ESCOLA,Q047,IN_CEGUEIRA,NU_NOTA_CN,TP_COR_RACA,Q025,NU_NOTA_COMP4,IN_IDOSO,TP_PRESENCA_LC,TP_ST_CONCLUSAO,NU_NOTA_REDACAO,TP_PRESENCA_MT,NU_NOTA_CH,IN_BAIXA_VISAO,IN_DISCALCULIA,NU_NOTA_COMP1,IN_SURDEZ,SG_UF_RESIDENCIA,IN_DISLEXIA,TP_PRESENCA_CN,TP_PRESENCA_CH,NU_NOTA_COMP5,Q026,TP_ANO_CONCLUIU,IN_GESTANTE,IN_TREINEIRO
0,120.0,C,1.0,17,2,402.9,A,A,120.0,C,F,1,2,A,0,430.6,3,A,140.0,0,1,2,620.0,1,544.2,0,0,140.0,0,RJ,0,1,1,100.0,B,0,0,0
0,120.0,C,1.0,24,1,518.5,D,A,120.0,D,F,0,1,A,0,449.7,2,B,120.0,0,1,1,520.0,1,485.0,0,0,120.0,0,SP,0,1,1,40.0,C,6,0,0
0,160.0,D,1.0,17,1,542.5,B,A,160.0,A,F,1,2,A,0,465.7,3,A,160.0,0,1,2,760.0,1,559.7,0,0,160.0,0,AM,0,1,1,120.0,A,0,0,0
0,80.0,F,1.0,18,1,441.9,H,B,80.0,C,F,1,2,A,0,477.3,1,B,80.0,0,1,2,420.0,1,554.3,0,0,100.0,0,RS,0,1,1,80.0,A,0,0,0
0,0.0,B,0.0,17,1,0.0,C,A,0.0,B,F,1,2,A,0,0.0,3,A,0.0,0,0,2,0.0,0,0.0,0,0,0.0,0,SP,0,0,0,0.0,A,0,0,0
0,120.0,G,1.0,15,1,452.4,F,B,140.0,E,M,1,1,D,0,467.8,3,B,120.0,0,1,3,600.0,1,512.9,0,0,140.0,0,BA,0,1,1,80.0,A,0,0,1
0,120.0,E,1.0,18,1,479.3,C,B,120.0,B,F,1,1,A,0,407.8,3,B,120.0,0,1,1,640.0,1,559.8,0,0,140.0,0,MT,0,1,1,140.0,A,1,0,0
0,120.0,E,1.0,24,1,518.0,C,B,120.0,H,F,1,1,A,0,401.4,3,B,120.0,0,1,1,600.0,1,506.9,0,0,160.0,0,MG,0,1,1,80.0,C,8,0,0
0,140.0,G,1.0,17,1,604.4,G,D,140.0,E,M,0,1,B,0,448.9,1,B,140.0,0,1,1,720.0,1,639.2,0,0,160.0,0,SC,0,1,1,140.0,A,1,0,0
0,80.0,D,1.0,18,1,521.8,E,B,120.0,H,F,1,2,A,0,373.4,3,B,120.0,0,1,2,480.0,1,518.4,0,0,120.0,0,AM,0,1,1,40.0,A,0,0,0
0,120.0,C,1.0,18,1,623.0,D,C,120.0,B,M,0,2,A,0,560.8,1,B,120.0,0,1,2,620.0,1,586.9,0,0,120.0,0,MG,0,1,1,140.0,C,0,0,0
0,80.0,C,1.0,16,2,603.1,H,A,120.0,C,M,0,1,A,0,593.9,1,B,120.0,0,1,3,480.0,1,549.4,0,0,120.0,0,PR,0,1,1,40.0,C,0,0,1
0,120.0,E,1.0,16,1,515.7,C,B,120.0,E,F,1,1,A,0,498.2,2,B,120.0,0,1,3,620.0,1,619.9,0,0,140.0,0,BA,0,1,1,120.0,A,0,0,1
0,120.0,F,1.0,18,1,578.4,D,B,120.0,E,F,1,2,A,0,461.4,1,B,140.0,0,1,2,620.0,1,587.4,0,0,120.0,0,MA,0,1,1,120.0,A,0,0,0
0,120.0,E,1.0,19,1,586.5,D,B,120.0,H,F,1,1,D,0,524.5,3,B,120.0,0,1,1,600.0,1,581.0,0,0,120.0,0,PI,0,1,1,120.0,A,1,0,0
0,60.0,G,1.0,21,1,443.2,D,A,80.0,D,M,1,1,A,0,412.6,2,A,60.0,0,1,1,320.0,1,396.3,0,0,80.0,0,TO,0,1,1,40.0,B,3,0,0
0,80.0,C,1.0,19,2,450.4,B,A,100.0,C,M,0,2,A,0,366.7,1,A,80.0,0,1,2,380.0,1,424.2,0,0,80.0,0,PE,0,1,1,40.0,A,0,0,0
0,120.0,H,1.0,18,1,536.4,C,A,120.0,H,F,1,1,A,0,440.3,2,A,80.0,0,1,3,420.0,1,493.9,0,0,80.0,0,CE,0,1,1,20.0,A,0,0,0
0,0.0,G,0.0,18,1,0.0,D,B,0.0,E,F,1,1,A,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MT,0,0,0,0.0,B,1,0,0
0,80.0,E,1.0,18,1,493.6,C,B,100.0,E,F,0,1,A,0,377.9,1,A,100.0,0,1,1,460.0,1,527.3,0,0,120.0,0,SP,0,1,1,60.0,B,1,0,0
0,120.0,E,1.0,21,1,577.4,D,B,120.0,B,M,1,1,A,0,595.1,3,B,120.0,0,1,1,560.0,1,565.7,0,0,100.0,0,GO,0,1,1,100.0,C,2,0,0
0,120.0,F,1.0,18,1,607.5,H,B,100.0,F,M,1,2,A,0,561.1,3,B,80.0,0,1,2,520.0,1,610.8,0,0,120.0,0,MG,0,1,1,100.0,A,0,0,0
0,0.0,D,0.0,40,1,0.0,B,B,0.0,C,M,1,1,C,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,CE,0,0,0,0.0,B,10,0,0
0,120.0,D,1.0,20,1,527.4,B,A,120.0,C,M,1,1,A,0,384.5,3,A,100.0,0,1,1,560.0,1,512.4,0,0,120.0,0,PA,0,1,1,100.0,B,1,0,0
0,120.0,C,1.0,19,1,387.4,A,A,120.0,H,F,1,1,A,0,419.9,3,A,120.0,0,1,3,600.0,1,467.9,0,0,140.0,0,PI,0,1,1,100.0,A,0,0,0
0,120.0,D,1.0,18,1,516.4,B,A,140.0,B,F,0,1,A,0,460.9,1,A,120.0,0,1,1,640.0,1,468.0,0,0,140.0,0,SP,0,1,1,120.0,B,1,0,0
0,0.0,D,0.0,25,1,0.0,C,B,0.0,D,M,1,1,B,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,SC,0,0,0,0.0,C,3,0,0
0,160.0,F,1.0,19,1,562.7,I,B,160.0,G,F,0,1,D,0,596.2,1,B,160.0,0,1,1,780.0,1,610.4,0,0,140.0,0,PR,0,1,1,160.0,A,1,0,0
0,40.0,E,1.0,17,1,503.5,D,A,80.0,E,M,1,2,A,0,443.8,3,A,80.0,0,1,2,360.0,1,470.9,0,0,80.0,0,GO,0,1,1,80.0,B,0,0,0
0,80.0,C,1.0,16,1,431.9,B,A,100.0,C,F,1,1,A,0,493.5,1,A,120.0,0,1,3,500.0,1,504.1,0,0,120.0,0,CE,0,1,1,80.0,A,0,0,1
0,40.0,D,1.0,18,1,604.4,D,B,60.0,H,M,0,1,A,0,482.2,2,B,80.0,0,1,3,360.0,1,590.8,0,0,120.0,0,RJ,0,1,1,60.0,A,0,0,0
0,0.0,G,0.0,27,1,0.0,B,A,0.0,B,F,0,1,A,0,0.0,2,A,0.0,0,0,3,0.0,0,0.0,0,0,0.0,0,MS,0,0,0,0.0,C,0,0,0
0,120.0,E,1.0,16,1,530.2,G,B,140.0,E,F,1,3,D,0,446.0,3,B,120.0,0,1,2,640.0,1,518.9,0,0,140.0,0,PA,0,1,1,120.0,A,0,0,0
0,80.0,D,1.0,16,1,521.7,D,B,120.0,B,F,0,1,A,0,437.3,2,B,120.0,0,1,3,500.0,1,449.1,0,0,120.0,0,RJ,0,1,1,60.0,A,0,0,1
0,0.0,E,0.0,20,1,0.0,B,A,0.0,B,F,1,1,D,0,0.0,3,A,0.0,0,0,3,0.0,0,0.0,0,0,0.0,0,RJ,0,0,0,0.0,A,0,0,0
0,80.0,C,1.0,17,1,546.8,I,C,120.0,C,F,0,2,A,0,434.9,2,B,120.0,0,1,2,580.0,1,475.2,0,0,120.0,0,SP,0,1,1,140.0,C,0,0,0
0,120.0,D,1.0,23,1,507.0,B,B,80.0,D,M,1,1,A,0,438.4,3,A,80.0,0,1,1,440.0,1,441.4,0,0,120.0,0,AP,0,1,1,40.0,A,5,0,0
0,120.0,D,1.0,18,1,532.0,H,C,160.0,E,M,0,1,A,0,367.1,3,B,120.0,0,1,1,600.0,1,526.4,0,0,120.0,0,SP,0,1,1,80.0,C,1,0,0
0,60.0,E,1.0,22,1,517.3,C,B,80.0,C,F,1,1,A,0,393.9,2,B,100.0,0,1,1,420.0,1,492.3,0,0,120.0,0,RJ,0,1,1,60.0,B,3,0,0
0,120.0,C,1.0,16,1,524.5,H,B,120.0,C,F,1,1,D,0,414.3,1,B,140.0,0,1,3,600.0,1,534.0,0,0,120.0,0,GO,0,1,1,100.0,A,0,0,1
0,80.0,D,1.0,27,1,489.7,D,A,100.0,C,M,1,1,A,0,477.9,3,A,100.0,0,1,1,500.0,1,484.2,0,0,140.0,0,PA,0,1,1,80.0,B,9,0,0
0,120.0,C,1.0,37,1,546.6,G,B,120.0,E,F,1,1,A,0,494.1,1,B,80.0,0,1,1,540.0,1,587.5,0,0,120.0,0,MG,0,1,1,100.0,B,10,0,0
0,80.0,C,1.0,17,1,511.2,B,A,40.0,H,M,1,2,A,0,391.1,3,A,80.0,0,1,2,360.0,1,570.4,0,0,100.0,0,CE,0,1,1,60.0,A,0,0,0
0,80.0,E,1.0,18,1,464.7,D,A,100.0,B,F,1,2,A,0,405.7,1,A,80.0,0,1,2,400.0,1,476.4,0,0,100.0,0,RJ,0,1,1,40.0,A,0,0,0
0,120.0,E,1.0,17,1,526.0,B,A,100.0,E,M,1,2,A,0,443.0,3,A,120.0,0,1,2,540.0,1,521.8,0,0,120.0,0,CE,0,1,1,80.0,A,0,0,0
0,0.0,F,0.0,28,1,0.0,E,B,0.0,E,M,0,1,D,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,RJ,0,0,0,0.0,B,10,0,0
0,0.0,B,0.0,23,1,0.0,E,A,0.0,A,F,1,1,A,0,0.0,4,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MT,0,0,0,0.0,C,5,0,0
0,100.0,E,1.0,18,1,530.1,B,A,120.0,E,F,1,1,A,0,444.3,3,A,120.0,0,1,1,540.0,1,509.1,0,0,120.0,0,TO,0,1,1,80.0,A,1,0,0
0,0.0,B,0.0,22,1,0.0,B,A,0.0,B,M,0,1,A,0,0.0,4,A,0.0,0,0,4,0.0,0,0.0,0,0,0.0,0,MS,0,0,0,0.0,C,0,0,0
0,100.0,C,1.0,37,1,444.6,B,B,100.0,B,F,1,1,A,0,401.8,3,B,120.0,0,1,1,560.0,1,487.6,0,0,100.0,0,MG,0,1,1,140.0,C,1,0,0
0,0.0,D,0.0,17,1,0.0,B,A,0.0,C,M,0,2,A,0,0.0,3,B,0.0,0,0,2,0.0,0,0.0,0,0,0.0,0,PB,0,0,0,0.0,C,0,0,0
0,120.0,C,1.0,21,1,555.2,C,A,140.0,A,F,1,1,A,0,457.0,3,A,120.0,0,1,1,660.0,1,538.6,0,0,160.0,0,DF,0,1,1,120.0,B,3,0,0
0,120.0,C,1.0,32,1,483.5,B,A,100.0,C,M,0,1,A,0,475.7,3,A,120.0,0,1,1,520.0,1,547.4,0,0,120.0,0,PI,0,1,1,60.0,B,9,0,0
0,80.0,C,1.0,17,1,456.0,B,A,80.0,B,F,0,2,A,0,459.2,3,A,80.0,0,1,2,320.0,1,505.6,0,0,80.0,0,TO,0,1,1,0.0,A,0,0,0
0,0.0,E,0.0,38,1,0.0,N,D,0.0,F,F,0,1,A,0,0.0,1,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,ES,0,0,0,0.0,C,10,0,0
0,120.0,B,1.0,18,1,482.0,B,A,120.0,B,F,1,2,A,0,382.4,3,A,100.0,0,1,2,520.0,1,368.3,0,0,120.0,0,BA,0,1,1,60.0,A,0,0,0
0,0.0,C,0.0,25,1,0.0,B,A,0.0,B,F,1,1,A,0,0.0,2,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,PB,0,0,0,0.0,C,5,0,0
0,0.0,B,6.0,30,1,448.2,C,A,0.0,B,F,0,1,A,0,460.7,1,A,0.0,0,1,1,0.0,1,505.8,0,0,0.0,0,MT,0,1,1,0.0,C,10,0,0
0,80.0,D,1.0,18,2,498.6,B,B,120.0,D,M,1,1,A,0,462.8,3,B,120.0,0,1,3,520.0,1,524.6,0,0,140.0,0,BA,0,1,1,60.0,A,0,0,0
0,0.0,H,9.0,18,1,467.8,B,A,0.0,H,M,1,2,A,0,431.1,3,A,0.0,0,1,2,0.0,1,431.7,0,0,0.0,0,CE,0,1,1,0.0,A,0,0,0
0,80.0,D,1.0,20,1,564.2,G,B,100.0,C,M,1,1,A,0,413.1,1,B,100.0,0,1,1,440.0,1,541.7,0,0,80.0,0,MT,0,1,1,80.0,C,2,0,0
0,60.0,B,1.0,26,1,382.5,B,B,40.0,D,M,1,1,A,0,444.7,1,B,60.0,0,1,1,260.0,1,412.6,0,0,80.0,0,MG,0,1,1,20.0,B,6,0,0
0,120.0,D,1.0,17,1,456.5,B,A,120.0,A,F,1,2,A,0,456.7,3,A,120.0,0,1,2,580.0,1,528.5,0,0,120.0,0,CE,0,1,1,100.0,A,0,0,0
0,160.0,F,1.0,18,1,591.7,O,C,160.0,G,M,0,1,E,0,591.8,1,B,160.0,0,1,1,760.0,1,625.3,0,0,160.0,0,SP,0,1,1,120.0,A,1,0,0
0,120.0,C,1.0,42,1,575.7,G,B,120.0,C,F,0,1,A,0,510.0,1,A,140.0,0,1,1,560.0,1,543.2,0,0,160.0,0,SP,0,1,1,20.0,B,10,0,0
0,80.0,H,1.0,20,1,530.3,G,B,80.0,H,M,1,1,A,0,435.5,1,B,60.0,0,1,4,380.0,1,557.9,0,0,120.0,0,RS,0,1,1,40.0,A,0,0,0
0,0.0,C,0.0,21,1,0.0,C,A,0.0,C,F,1,2,A,0,0.0,1,A,0.0,0,0,2,0.0,0,0.0,0,0,0.0,0,CE,0,0,0,0.0,B,0,0,0
0,120.0,C,1.0,19,1,546.8,E,B,120.0,C,F,1,1,A,0,432.7,1,A,120.0,0,1,1,540.0,1,578.4,0,0,120.0,0,ES,0,1,1,60.0,C,3,0,0
0,0.0,D,0.0,17,3,0.0,J,B,0.0,B,M,1,2,A,0,0.0,1,B,0.0,0,0,2,0.0,0,0.0,0,0,0.0,0,RS,0,0,0,0.0,B,0,0,0
0,120.0,E,1.0,20,1,404.0,B,B,160.0,D,F,1,1,A,0,383.1,1,B,120.0,0,1,3,620.0,1,566.5,0,0,140.0,0,AP,0,1,1,80.0,B,0,0,0
0,140.0,C,1.0,19,1,617.7,E,B,140.0,H,F,1,1,A,0,452.7,2,B,140.0,0,1,1,640.0,1,620.1,0,0,120.0,0,SP,0,1,1,100.0,C,2,0,0
0,0.0,E,0.0,19,1,0.0,B,A,0.0,E,F,0,1,A,0,0.0,2,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,RJ,0,0,0,0.0,A,1,0,0
0,120.0,E,1.0,22,1,492.3,F,B,120.0,B,F,1,1,A,0,383.2,2,B,120.0,0,1,1,520.0,1,495.6,0,0,120.0,0,SP,0,1,1,40.0,C,5,0,0
0,120.0,B,1.0,17,1,486.0,C,A,140.0,D,F,0,2,A,0,442.5,1,B,120.0,0,1,2,680.0,1,555.5,0,0,140.0,0,SP,0,1,1,160.0,A,0,0,0
0,120.0,B,1.0,17,1,455.0,E,A,120.0,C,M,0,2,A,0,390.1,3,A,120.0,0,1,2,600.0,1,577.9,0,0,120.0,0,TO,0,1,1,120.0,B,0,0,0
0,120.0,F,1.0,17,1,555.5,G,A,140.0,E,F,1,2,A,0,471.8,1,B,140.0,0,1,2,680.0,1,535.9,0,0,160.0,0,SP,0,1,1,120.0,A,0,0,0
0,80.0,C,1.0,17,1,544.7,D,B,80.0,B,F,0,2,A,0,383.7,3,B,80.0,0,1,2,360.0,1,520.6,0,0,100.0,0,SP,0,1,1,20.0,A,0,0,0
0,140.0,D,1.0,19,1,576.9,G,B,120.0,B,M,0,2,A,0,541.1,0,B,120.0,0,1,2,580.0,1,557.9,0,0,120.0,0,SP,0,1,1,80.0,B,0,0,0
0,0.0,B,6.0,44,1,0.0,C,A,0.0,B,F,1,1,A,0,0.0,1,A,0.0,0,1,4,0.0,1,0.0,0,0,0.0,0,RS,0,1,1,0.0,C,0,0,0
0,0.0,F,0.0,38,1,0.0,B,B,0.0,B,F,1,1,A,0,519.3,3,B,0.0,0,0,1,0.0,0,564.3,0,0,0.0,0,MG,0,1,1,0.0,C,10,0,0
0,0.0,C,0.0,27,1,0.0,D,B,0.0,D,M,0,2,A,0,0.0,3,B,0.0,0,0,2,0.0,0,0.0,0,0,0.0,0,ES,0,0,0,0.0,C,0,0,0
0,100.0,G,1.0,17,1,606.9,H,B,120.0,E,F,0,1,D,0,575.5,1,B,80.0,0,1,3,560.0,1,605.2,0,0,140.0,0,SP,0,1,1,120.0,C,0,0,1
0,80.0,C,1.0,18,1,485.2,E,A,120.0,C,F,1,2,A,0,454.2,1,B,120.0,0,1,2,520.0,1,433.0,0,0,120.0,0,PR,0,1,1,80.0,B,0,0,0
0,160.0,E,1.0,17,1,599.4,C,B,160.0,C,F,1,2,A,0,582.2,3,B,180.0,0,1,2,840.0,1,602.8,0,0,160.0,0,MG,0,1,1,180.0,A,0,0,0
0,200.0,C,1.0,19,1,583.3,G,B,200.0,E,F,0,1,A,0,542.1,3,B,180.0,0,1,1,940.0,1,610.3,0,0,160.0,0,MG,0,1,1,200.0,A,1,0,0
0,60.0,H,1.0,17,1,470.1,B,A,80.0,H,F,0,1,A,0,438.7,2,A,80.0,0,1,3,340.0,1,446.1,0,0,100.0,0,BA,0,1,1,20.0,A,0,0,1
0,0.0,E,0.0,21,1,0.0,A,A,0.0,C,M,1,1,A,0,0.0,3,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,PA,0,0,0,0.0,A,3,0,0
0,0.0,C,0.0,21,1,0.0,C,A,0.0,D,M,1,1,A,0,0.0,3,A,0.0,0,0,4,0.0,0,0.0,0,0,0.0,0,MT,0,0,0,0.0,B,0,0,0
0,120.0,D,1.0,26,1,543.0,C,B,120.0,B,F,1,1,A,0,373.7,3,A,160.0,0,1,1,640.0,1,594.7,0,0,120.0,0,MA,0,1,1,120.0,B,9,0,0
0,0.0,C,0.0,34,1,0.0,A,B,0.0,B,M,0,1,A,0,0.0,3,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,SP,0,0,0,0.0,B,10,0,0
0,120.0,E,1.0,16,1,548.5,G,B,120.0,C,M,1,2,A,0,509.2,1,B,120.0,0,1,2,560.0,1,575.1,0,0,120.0,0,ES,0,1,1,80.0,A,0,0,0
0,120.0,B,1.0,19,1,529.6,C,B,120.0,B,M,0,2,A,0,477.9,2,B,120.0,0,1,2,540.0,1,569.7,0,0,80.0,0,MG,0,1,1,100.0,A,0,0,0
0,120.0,E,1.0,27,1,562.6,B,A,120.0,B,F,1,1,A,0,490.8,3,A,120.0,0,1,1,560.0,1,543.4,0,0,140.0,0,BA,0,1,1,60.0,B,9,0,0
0,0.0,D,0.0,48,1,0.0,D,B,0.0,C,M,1,1,A,0,0.0,3,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,RO,0,0,0,0.0,C,10,0,0
0,0.0,B,0.0,23,1,0.0,D,B,0.0,C,F,0,1,A,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MG,0,0,0,0.0,B,6,0,0
0,120.0,D,1.0,16,1,444.3,C,C,120.0,D,F,1,1,A,0,516.2,3,B,120.0,0,1,3,560.0,1,507.6,0,0,120.0,0,PE,0,1,1,80.0,A,0,0,1
0,120.0,D,1.0,17,1,574.1,D,A,120.0,C,F,1,2,A,0,455.6,3,A,160.0,0,1,2,680.0,1,587.1,0,0,120.0,0,CE,0,1,1,160.0,A,0,0,0
0,0.0,C,0.0,24,1,0.0,D,B,0.0,C,F,1,1,A,0,0.0,3,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MG,0,0,0,0.0,C,7,0,0
0,100.0,E,1.0,20,1,475.5,B,B,120.0,E,F,1,1,A,0,515.6,3,A,100.0,0,1,1,520.0,1,547.1,0,0,120.0,0,CE,0,1,1,80.0,B,3,0,0
0,100.0,A,1.0,34,1,552.6,D,A,120.0,A,F,1,1,A,0,485.2,3,A,140.0,0,1,1,580.0,1,558.7,0,0,140.0,0,PA,0,1,1,80.0,C,10,0,0
